folder,claim_id,source_file,status,falsifier_text,quantity,units,how_obtained,reference,maps_to,breaks_at,downgrade_reason,notes,batch
triad-playground,TP_005,triad-playground/CLAIM_TABLE.md,MEASURED,an example where the conclusion changes with the reasoning dial while the physical declaration survives the run unrevised.,conclusion-change verdict with state_revised_during_run false,boolean (change) + revision flag,"a run recorded under triad.json check P4, which separates physical findings from reasoning gradients",,,,,,2
triad-playground,TP_006,triad-playground/CLAIM_TABLE.md,MEASURED,"tie a reasoning check to something outside the observer's own report — cabin temperature, hours since sleep, a timestamp, a keystroke-latency measure.",external readability of each reasoning check,boolean per check (only R3 readable today),attach an outside measurement; triad.json's 'readable' field carries the distinction; CHECKLIST.md renders [DECLARED],,,,,,2
triad-playground,TP_007,triad-playground/CLAIM_TABLE.md,MEASURED,run it.,observer error |observer - logged| on a real panel,mm,"one bar, one indicator with a data log; observers write values without seeing the log",,,,,TP_013 names the same experiment ('run it'); deduped here,2
triad-playground,TP_008,triad-playground/CLAIM_TABLE.md,MEASURED,"measure the correlation between two model families on a real shadow task. If cross-family correlation is as high as within-family, model diversity buys nothing and the human is not substitutable.",cross-family vs within-family correlation of shadow errors on a real task,correlation coefficient,run a real shadow panel with >= 2 model families against an independently logged reference,,,,,"generator-scope table: 4 model families give N_eff 2.18, false-pass 12.4%; v1 minus the human collapses to N_eff 1.14, 84%",2
triad-playground,TP_009,triad-playground/CLAIM_TABLE.md,MEASURED,"a panel-quality statistic that predicts false-pass rate better than N_eff does. This is a modelling choice, not a theorem.",predictive association of the candidate statistic vs N_eff with false-pass rate,prediction quality compared (false-pass rate in %),sweep the variance components (shadow_panel.py §3) and compare predictors,,,,,,2
triad-playground,TP_010,triad-playground/CLAIM_TABLE.md,MEASURED,a measurement regime where observer repeat variance is reliably below instrument resolution. Then the two denominators coincide and v1's rule is sufficient — and TP_004's independent-log fix is what would establish it.,same-observer repeat variance vs instrument resolution,mm / ratio,one observer measuring twice at one dial with the independent log,,,,,,2
triad-playground,TP_012,triad-playground/CLAIM_TABLE.md,MEASURED,show G-DIM as implemented rejects a run whose two dial settings produced identical output. It does not — it never inspects dial settings at all.,G-DIM reject verdict on a run whose two dial settings produced identical output,boolean reject/void,"run reasoning-gate's G-DIM guard on the constructed run; the named check (declared budget separation vs observed reasoning-token separation, with margin) is unassigned",,,,,,2
readout-count,WO_H1,readout-count/WORK_ORDER.md,MEASURED,H1 FALSE if  rank(readout_count) does not match rank(rate trend) across >= 4 regimes,rank agreement between readout_count and rate_trend across >= 4 regimes,Spearman rho (threshold rho > 0 declared as CHOICE 3); strict equality printed but unused,readout_count.py h1() over sourced regime rows,,,,,strict-equality reading is degenerate past three regimes on a three-level trend (RC_003),2
readout-count,WO_H2,readout-count/WORK_ORDER.md,MEASURED,H2 FALSE if  regimes with high declared-channel count and low return rate show rate improvement comparable to high-return regimes,rate improvement in high-declared/low-return regimes vs high-return regimes,rate-trend change compared between regime classes,h2() over coded rows,,,,,"readout_count is derived from positions_returning, so the count itself cannot test H2 (RC_006)",2
readout-count,WO_H3,readout-count/WORK_ORDER.md,MEASURED,"H3 FALSE if  internal alerts are acted on at >= the rate of external detections, controlling for alert severity",acted-on rate of internal alerts vs external detections with severity held constant,rate (fraction acted on) per origin,"needs acted-on counts split by origin and a grading field; the delivered schema carries neither, so H3 returns NOT_COMPUTABLE (RC_004)",,,,,,2
readout-count,RC_002,readout-count/CLAIM_TABLE.md,MEASURED,Falsifier: a seed row with a URL and integer cells that the validator refuses.,validator verdict on a seed row carrying a source URL and integer cells,boolean accept/refuse,"run the validator; 0 of 5 delivered seed rows count (grades, bounds and dashes refused as not counts)",,,,,,2
readout-count,RC_003,readout-count/CLAIM_TABLE.md,MEASURED,"Falsifier: a definition of ""match"" in the order under which four regimes on a three-level trend can strictly match.",strict rank-equality verdict under the proposed definition on a constructed 4-regime world,boolean (with Spearman rho for comparison),evaluate on the constructed tracking world (counts 0/1/2/3 vs up/flat/down/down): strict equality False at rho 0.949,,,,,,2
readout-count,RC_024,readout-count/EXCLUSION_STACK_trucking_v2.md,MEASURED,"if present in operator-side training, this layer is refuted",presence of the three named citations in operator-side training syllabi,"boolean per citation (predicted: present carrier-side, absent operator-side)","the block's TEST: search four syllabi; both hosts refused CONNECT, so unrun",,,,,L4 is the first layer in either stack version carrying its own falsifier (TEST + two-armed PREDICT); evidence declared as one operator's training stack,2
removal-closure,WO_H1,removal-closure/WORK_ORDER.md,MEASURED,H1 FALSE if  >= 1 closed row closed WITHOUT a removal or alteration demonstration,count of closed rows that closed without a removal/alteration demonstration,count of rows,"removal_closure.py H1 rule over cited rows; fires on a constructed world, undetermined on empty input",,,,,,2
removal-closure,WO_H2,removal-closure/WORK_ORDER.md,MEASURED,H2 FALSE if  rank(removability) does not track rank(time-to-closure) across rows,rank tracking between removability and time-to-closure,Spearman rho (fires in both directions on constructed worlds),H2 rule using the Spearman imported from readout-count,,,,,"closed-only reading drops open rows — exactly where H2 predicts the low-removability constants sit; a censored reading (open rows at CURRENT_YEAR - first_correlation_year, a lower bound) is printed beside it (RMC_004)",2
removal-closure,WO_H3,removal-closure/WORK_ORDER.md,MEASURED,H3 FALSE if  a non-removable constant has reached step 4 (transducer named),maximum ladder step reached among non-removable constants,ladder step 1-5,"H3 rule over coded rows; fires on a low-removability row at step 4, not at step 3",,,,,,2
neural-augmentation-audit,(neural-augmentation-audit),neural-augmentation-audit/SCAFFOLD.md,MISSING,"Every cell is a claim with a confidence mark. Demote on contact with evidence; never modify the table to protect a prior. If a study refutes a row, the row changes — the structure doesn't get defended.",,,,,,,,No per-claim falsifier anywhere in README.md or SCAFFOLD.md — only this generic refutation stance plus [E]/[I]/[S] confidence marks; the §5 open questions name gaps but no falsifier. Closest falsifier-adjacent text quoted.,2
reasoning-gate,RG_F1,reasoning-gate/AUDIT_NOTES.md,MEASURED,"One caveat that would reverse it: the plain mean of the same Fibonacci samples is 2.45, not 0.09. If SIM-A's 2.08 were a mean rather than a top-excluded floor, a genuine quasicrystal could produce it. The figure panel reads 'Diffuse Background (excl. top 1%)', so the comparison stands — on that label.",which statistic SIM-A's 'Diffuse Background' panel computes (plain mean vs top-1%-excluded floor),verdict label; S(k) floor value dimensionless (Fibonacci mean 2.45 vs floor 0.09),read the panel's definition / recompute from SIM-A's code; stated as the one caveat that would reverse the §7 aliasing conclusion,,,,,,2
reasoning-gate,RG_F2,reasoning-gate/SIM_STACK_BACKTRACE.md,MEASURED,minimum control: feed the PERIODIC LATTICE through the same S(k) code,S(k) output of the SIM-B periodic lattice through SIM-A's code,resolved reciprocal-lattice spectrum vs only k=0 (boolean/peak structure),"run the lattice through the SIM-A S(k) code; generators not shipped, so the 1D-probe analogue aperture_alias_demo.py stands in",,,,,the backtrace 'names the control that would settle it' (AUDIT_NOTES §7); same measurement as AOS_006/AOS_007 in aperiodic-order-sim-stack; STANDING table: 'SIM-A rerun with lattice control or discard',2
observable-indicator-rules,OIR_001,observable-indicator-rules/CLAIM_TABLE.md,MEASURED,"a flipping ensemble that yields a rule, or a stable one that yields none. The selftest asserts neither happens.",rule output per ensemble type,count of rules (flipping ensemble -> empty True; stable -> 3 rules),run pipeline.py on the synthetic flipping/stable ensembles from ensembles.py; selftest asserts both directions,,,,,SOURCE_DROP.md's FALSIFIABLE section states the same condition; deduped here,2
observable-indicator-rules,OIR_002,observable-indicator-rules/CLAIM_TABLE.md,MEASURED,"a version of step 3 that constrains the false-alarm rate, or a demonstration that a dry hazard flips the pair's sign. Neither holds for the criterion as written.",false-alarm rate of a step-3-kept trigger; sign of the pair on a dry-hazard run,rate 0..1 (0.5 measured on false_alarm_heavy); sign (+1/-1),run the false_alarm_heavy ensemble through step 3; reliability() adds both rates,,,,,,2
observable-indicator-rules,OIR_003,observable-indicator-rules/CLAIM_TABLE.md,MEASURED,a case where strict-invariance invents a rule the weak order would reject. It cannot — strict is a subset of weak.,keep-verdict divergence between strict sign-invariance and weak-order invariance on a tied pair,boolean per criterion (strict keeps tied pair: False; weak order: True),run both criteria on the constructed tied ensemble; subset relation makes invention impossible,,,,,,2
observable-indicator-rules,OIR_004,observable-indicator-rules/CLAIM_TABLE.md,MEASURED,a stable-order ensemble whose lead band collapses to a point. The varying-gap construction makes it wide.,lead-band width on a stable-order ensemble,"timesteps (bridge->house band 2 to 9.2 steps, width 7.2)",run the stable varying-gap ensemble through pipeline.py,,,,,,2
observable-indicator-rules,OIR_005,observable-indicator-rules/CLAIM_TABLE.md,MEASURED,a route-closes-first ensemble where the chosen trigger is the household itself. The selftest asserts it is not.,identity of the chosen trigger and its ordering vs route closure,boolean (trigger != household True; wets before route closes True),rule_for() over the ensemble; selftest asserts,,,,,,2
observable-indicator-rules,OIR_006,observable-indicator-rules/CLAIM_TABLE.md,MEASURED,a reading on which a no-information run should count as agreement or as a flip. Excluding it is the only one that adds no false signal in either direction.,handling verdict for neither-wet runs and its directional effect on pair stability,boolean excluded/included; stability count effect,"constructed runs through _ordering(); counting as agreement inflates stability, as flip suppresses a real rule",,,,,falsifier asks for 'a reading' but the checkable content is the exclusion verdict and its measured effect,2
observable-indicator-rules,OIR_007,observable-indicator-rules/CLAIM_TABLE.md,MEASURED,a kept pair with a non-zero miss rate. Step 3 forbids it.,miss rate of kept pairs,rate (forced to ~0 by step 3; false-alarm rate unconstrained),reliability() over ensembles; null check: a trigger identical to the hazard has zero of both,,,,,,2
observable-indicator-rules,OIR_008,observable-indicator-rules/CLAIM_TABLE.md,MEASURED,the three documents disagreeing on what the coupled solve produces. They do not; this consumes what the other two describe.,consistency verdict across the three family documents on what the coupled solve produces,boolean,"read columbia-chain-cascade, reservoir-chain-coupling, and this spec side by side",,,,,loosely instrumented text-consistency check,2
observable-indicator-rules,OIR_009,observable-indicator-rules/CLAIM_TABLE.md,MEASURED,"run the pipeline on a real router ensemble. Then the cards are real, and their false-alarm rates decide whether the method delivers a usable product for that community.",false-alarm rate of cards derived from a real router ensemble,rate (fraction of runs where the trigger wets and the hazard stays dry),run pipeline.py on HEC-RAS output over real terrain — the non-phone term this environment cannot reach,,,,,,2
constraint-assembly,CA_001,constraint-assembly/AUDIT_NOTES.md,MEASURED,"the argument reducing to ""constraints are good"", or a readout that scores constraint count as quality",presence of a readout scoring constraint count as quality,boolean,inspect score() readouts (none scores count as quality),,,,,first disjunct is argument-shaped; the checkable half is coded,2
constraint-assembly,CA_002,constraint-assembly/AUDIT_NOTES.md,MEASURED,"unknown sufficiency being read as insufficiency, or the selection case being left to prose",composition_present / sufficiency_unknown / selection_not_assembly verdicts on the constructed sufficiency cases,boolean triple per case,"run assemble.py score() on the three constructed cases (both-insufficient, one-unrecorded, one-sufficient-alone); selftest exercises it",,,,,,2
constraint-assembly,CA_003,constraint-assembly/AUDIT_NOTES.md,MEASURED,a count over all components rather than over used ones,existence of a readout counting available-but-unused components (hard_constraints_available),boolean,inspect score(): filters to used on its first line; the schema's per-component used flag already expresses the inventory,,,,,,2
constraint-assembly,CA_004,constraint-assembly/AUDIT_NOTES.md,MEASURED,"returning None when rejected is empty, the way budget_consumed does one folder over",return value of rejections_all_grounded on an empty-rejected case,verdict label (False today vs None),run on a selection case (0 rejections),,,,,,2
constraint-assembly,CA_005,constraint-assembly/AUDIT_NOTES.md,MEASURED,the same guard applied to both flags,bounds-check presence on --case vs --new,boolean per flag; rc (IndexError rc 1 on --case with no argument),run assemble.py --case with no argument,,,,,,2
constraint-assembly,CA_006,constraint-assembly/AUDIT_NOTES.md,UNKNOWN,the two budgets being different quantities,,,,,,,no instrument named for deciding whether closure-cost's diagnostic_spend budget and this folder's deferred-diagnostic budget are the same quantity,CA_011's falsifier is identical ('the two budgets being different quantities'); deduped here,2
constraint-assembly,CA_007,constraint-assembly/AUDIT_NOTES.md,MEASURED,"the empty state refusing, or saying it is empty",exit code and row count on an empty corpus,"rc; rows printed (12 lines, 0 rows, rc 0)",run assemble.py with no cases/ directory,,,,,no longer exercised — the corpus arrived,2
constraint-assembly,CA_008,constraint-assembly/AUDIT_NOTES.md,MEASURED,"the two fields being combined, which needs no new field and no new data",presence of the combined verdict composition_visible = composition_present and not selection_not_assembly,boolean,inspect score(); flood-ground returns True on both fields while README and the case's own open list claim the tool refuses to read it as assembly,,,,,,2
constraint-assembly,CA_009,constraint-assembly/AUDIT_NOTES.md,MEASURED,a case naming a constraint that was available and not reached for,count of available-but-unused components recorded across the corpus,count (0 of 7),read the used flags in cases/*.json,,,,,,2
constraint-assembly,CA_010,constraint-assembly/AUDIT_NOTES.md,MEASURED,a soft term appearing in a case,count of soft-class components across cases,count (0 across both cases),read the component classes in cases/*.json,,,,,,2
constraint-assembly,CA_012,constraint-assembly/AUDIT_NOTES.md,MEASURED,"a coefficient, percentage or pressure appearing in a case",count of quantity numerals in the case files (road names excluded),"count (numerals present are exit 37, Highway 2, 21st Street only)",scan both case files; the grade is written as 'nine percent' in words,,,,,,2
constraint-assembly,CA_013,constraint-assembly/AUDIT_NOTES.md,MEASURED,"a case built on a novel constraint set, or a during-event record",existence of a novel-constraint-set case or a during-event record in the corpus,boolean,inspect the corpus; both named separation routes absent,,,,,"the module's own declared undecidability (recognition vs construction), named in the README before the cases",2
constraint-assembly,OQ_01,constraint-assembly/OPEN_RESEARCH.md,MEASURED,No measurable difference between recognition and construction conditions (then the distinction is not empirically separable).,"between-condition difference in solution time, rejection patterns, and self-reported construction vs recall",per-measure difference (seconds / pattern counts / self-report split),two-condition experiment: prior exposure to the constraint set vs novel set,,,,,,2
constraint-assembly,OQ_02,constraint-assembly/OPEN_RESEARCH.md,MEASURED,The quantities cannot be sourced or the energy balance does not close (then the case remains structural).,energy-balance closure of a quantified grade-stop case,energy-balance residual (closes / does not close),"source handbook values (friction coefficient, grade, air pressure...) and compute whether the assembly stops the vehicle",,,,,,2
constraint-assembly,OQ_03,constraint-assembly/OPEN_RESEARCH.md,MEASURED,Invariant-encountering failures are as common as consumable-spending failures (then the prediction is falsified).,failure-mode distribution: fraction consumable-spent vs invariant-encountered,fractions of classified incidents,"classify incident reports (NTSB, MAIB, ...)",,,,,,2
constraint-assembly,OQ_04,constraint-assembly/OPEN_RESEARCH.md,MEASURED,"Soft-term reliance does not correlate with failure (then the ""no assembly guarantee"" claim is not empirically supported).",correlation between load-bearing soft-term reliance and outcome,correlation,"survey real cases, classify soft-term role, correlate with success/failure",,,,,,2
constraint-assembly,OQ_05,constraint-assembly/OPEN_RESEARCH.md,MEASURED,No cases of partial-use destruction can be found (then the claim is theoretical).,count of documented cases where partial use of a consumable was worse than no use,count,incident-database search comparing partial-use vs no-use outcomes,,,,,,2
constraint-assembly,OQ_06,constraint-assembly/OPEN_RESEARCH.md,MEASURED,No real flood-ground cases can be found (then the placeholder remains a placeholder).,count of documented flood-crossing assembly cases,count,search-and-rescue reports / wilderness literature; populate flood-ground.real.json,,,,,,2
constraint-assembly,OQ_07,constraint-assembly/OPEN_RESEARCH.md,MEASURED,Budget terms do not predict component use or rejection patterns (then budget terms are not the operational quantity).,predictive association of budget terms with component use and rejection patterns,prediction accuracy / association,map budget terms to components across documented cases,,,,,,2
constraint-assembly,OQ_08,constraint-assembly/OPEN_RESEARCH.md,MEASURED,Diagnostic deferral does not correlate with outcome (then deferral is not a load-bearing variable).,correlation of diagnostic deferral with assembly outcome,correlation,cases with recorded deferral; outcome comparison,,,,,,2
constraint-assembly,OQ_09,constraint-assembly/OPEN_RESEARCH.md,MEASURED,Recall is accurate (> 90% match) (then the self-report defect is not load-bearing).,match rate between immediate and delayed recalled rejections,"percent match, threshold 90%",immediate vs delayed recall study on constrained decisions,,,,,,2
constraint-assembly,OQ_10,constraint-assembly/OPEN_RESEARCH.md,UNKNOWN,The three measurements are orthogonal (then they are not positions on one quantity).,,,,,,,the shared quantity ('option space under constraint') is not operationalized; orthogonality of uninstrumented readings is not checkable as stated,,2
constraint-assembly,OQ_11,constraint-assembly/OPEN_RESEARCH.md,UNKNOWN,Non-specialists find the guide unhelpful or incomprehensible.,,,,,,,no metric or threshold named for helpfulness or comprehensibility,,2
climate-modeling,CM_01,climate-modeling/OPEN_RESEARCH.md,MEASURED,Falsifier: The audit shows no discrepancy between true and simplified models (then positive feedback is not load-bearing for this system).,the falsifier's named comparison outcome on the audit's failure metric,failure_detected boolean + failure-metric value (metric defined in the stub docstring),"build the stub per its docstring recipe, run true vs simplified model under identical forcing, read the failure metric",,,,,MissingPositiveFeedbackAudit promotion,3
climate-modeling,CM_02,climate-modeling/OPEN_RESEARCH.md,MEASURED,Falsifier: The sigmoid and step function produce identical outcomes for all tested forcings (then smoothing is not a meaningful simplification).,the falsifier's named comparison outcome on the audit's failure metric,"count of missed rapid die-off events (sigmoid predicts survival, step predicts die-off)",build ThresholdSmoothingAudit; run step vs sigmoid models under identical forcings and count missed die-offs,,,,,ThresholdSmoothingAudit promotion,3
climate-modeling,CM_03,climate-modeling/OPEN_RESEARCH.md,MEASURED,Falsifier: Daily aggregation produces no timeline bias (then hourly resolution is not needed for this system).,the falsifier's named comparison outcome on the audit's failure metric,timeline bias: difference in cascade timeline between daily-aggregated and hourly forcing,build TemporalAggregationExtremesAudit; compare daily-aggregated vs hourly timelines,,,,,TemporalAggregationExtremesAudit promotion,3
climate-modeling,CM_04,climate-modeling/OPEN_RESEARCH.md,MEASURED,Falsifier: Homogeneous and heterogeneous models produce identical spread patterns (then spatial heterogeneity is not load-bearing).,the falsifier's named comparison outcome on the audit's failure metric,count of missed ignition/propagation events; spread-pattern difference,build SpatialHomogenizationAudit; compare homogeneous vs heterogeneous spread patterns,,,,,SpatialHomogenizationAudit promotion,3
climate-modeling,CM_05,climate-modeling/OPEN_RESEARCH.md,MEASURED,Falsifier: Repeated mild heatwaves cause no accumulated damage (then memory is not load-bearing).,the falsifier's named comparison outcome on the audit's failure metric,accumulated damage / collapses missed by the memoryless model (failure metric per docstring),build MemoryAmnesiaAudit; apply repeated mild heatwaves and measure accumulated damage,,,,,MemoryAmnesiaAudit promotion,3
climate-modeling,CM_06,climate-modeling/OPEN_RESEARCH.md,MEASURED,Falsifier: No cascades jump domains in the true system (then cross-system coupling is not load-bearing).,the falsifier's named comparison outcome on the audit's failure metric,count of cross-domain cascades missed by the audit model,build CrossSystemCouplingAudit; count cascades jumping domains in the true system,,,,,CrossSystemCouplingAudit promotion,3
climate-modeling,CM_07,climate-modeling/OPEN_RESEARCH.md,MEASURED,Falsifier: The buffer never exhausts under tested conditions (then buffer dynamics are not load-bearing).,the falsifier's named comparison outcome on the audit's failure metric,count of sudden-wilting events missed; buffer exhaustion occurrence (boolean),build BufferExhaustionAudit; run tested conditions and watch buffer exhaustion,,,,,BufferExhaustionAudit promotion,3
climate-modeling,CM_08,climate-modeling/OPEN_RESEARCH.md,MEASURED,Falsifier: Clustered and independent extremes produce identical compound event frequencies (then clustering is not load-bearing).,the falsifier's named comparison outcome on the audit's failure metric,compound event frequency: clustered vs independent extremes (event counts),"build ClusteredExtremesAudit; compare compound event frequencies, clustered vs independent",,,,,ClusteredExtremesAudit promotion,3
climate-modeling,CM_09,climate-modeling/OPEN_RESEARCH.md,MEASURED,Falsifier: Fat-tailed and Gaussian noise produce identical extreme event frequencies (then tail shape is not load-bearing).,the falsifier's named comparison outcome on the audit's failure metric,extreme event frequency: fat-tailed vs Gaussian noise (event counts),"build GaussianBlindnessAudit; compare extreme event frequencies, fat-tailed vs Gaussian",,,,,GaussianBlindnessAudit promotion,3
climate-modeling,CM_10,climate-modeling/OPEN_RESEARCH.md,MEASURED,Falsifier: The simplest model selected by AIC/BIC also captures all cascades (then parsimony bias is not a failure mode).,the falsifier's named comparison outcome on the audit's failure metric,count of cascades captured/missed by the AIC/BIC-selected simplest model,build IncentiveBiasAudit; select simplest model by AIC/BIC and count cascades it captures,,,,,IncentiveBiasAudit promotion,3
climate-modeling,CM_11,climate-modeling/OPEN_RESEARCH.md,MEASURED,Falsifier: The patcher never reduces any audit metric (then the patching loop is not doing useful work).,the falsifier's named comparison outcome on the audit's failure metric,count of audit metrics reduced by the patcher,run the rule-based patching loop and compare audit metrics before/after,,,,,rule-based patcher efficacy,3
climate-modeling,CM_12,climate-modeling/OPEN_RESEARCH.md,MEASURED,Falsifier: LLM and rule-based patchers produce identical improvements (then the LLM adds no value).,the falsifier's named comparison outcome on the audit's failure metric,per-audit improvement-metric difference between LLM and rule-based patchers,run both patchers on the same audits and compare per-audit improvement metrics,,,,,LLM vs rule-based patcher,3
climate-modeling,CM_13,climate-modeling/OPEN_RESEARCH.md,MEASURED,Falsifier: Real-world and synthetic forcing produce identical audit results (then synthetic forcing is sufficient).,the falsifier's named comparison outcome on the audit's failure metric,per-audit result difference between real-world and synthetic forcing,run the audit suite under real-world vs synthetic forcing and compare results,,,,,real-world forcing extension,3
climate-modeling,CM_14,climate-modeling/OPEN_RESEARCH.md,MEASURED,Falsifier: All parameters are equally influential (then sensitivity analysis is not informative).,the falsifier's named comparison outcome on the audit's failure metric,per-parameter sensitivity indices (per audit),run the sensitivity analysis over cascade-grass parameters and read per-parameter indices,,,,,cascade grass parameter sensitivity,3
climate-modeling,CM_15,climate-modeling/OPEN_RESEARCH.md,UNKNOWN,Falsifier: The cascade grass model cannot be calibrated to any real-world system (then the audit is purely theoretical).,,,,,,,"no calibration criterion, fit tolerance, or metric stated; 'any real-world system' open-ended",cascade speed audit real-world calibration,3
climate-modeling,CM_16,climate-modeling/OPEN_RESEARCH.md,UNKNOWN,Falsifier: Non-modeler audiences find the guide unhelpful or incomprehensible (then the guide needs revision).,,,,,,,no instrument named for helpfulness/comprehensibility; audience judgment only,user guide for non-modelers,3
criterion-symmetry,CS_001,criterion-symmetry/CLAIM_TABLE.md,MEASURED,Falsifier: a construction in which the tally separates any pair while all five still produce a high-agreement tally.,pairs separated by the vote tally among the five calibrated generators,count of separated pairs (of 10),run separability.py over the 12-seed constructions; enforced as a --selftest assertion,,,,,,3
criterion-symmetry,CS_002,criterion-symmetry/CLAIM_TABLE.md,MEASURED,Falsifier: an M1-M6 metric separating E4 from E5. --selftest fails if one does.,separation of pair E4/E5 by each of M1-M6,boolean per metric (separates / does not),run separability.py --selftest; fails if any listed metric separates the pair,,,,,,3
criterion-symmetry,CS_003,criterion-symmetry/CLAIM_TABLE.md,MEASURED,Falsifier: any vote-side statistic separating a pair at a high-agreement tally.,pairs separated by a vote-side statistic at a high-agreement tally,count of separated pairs,evaluate the statistic on the constructions (direct vote-position coupling separated 0 of 10),,,,,,3
criterion-symmetry,CS_004,criterion-symmetry/CLAIM_TABLE.md,MEASURED,"Falsifier: an observational statistic on a vote record that separates ""no route existed"" from ""no one took the route"".",separation of E4 ('no route existed') from E5 ('no one took the route') by an observational statistic,boolean (separates / does not) on the generated vote records,run the candidate statistic over the constructions' vote records; the claim is none exists at any logging depth,,,,,open-ended over all observational statistics; the selftest pins the listed ones,3
criterion-symmetry,CS_006,criterion-symmetry/CLAIM_TABLE.md,UNKNOWN,"Falsifier: a validation study relating disagreement rate to decision quality, in either direction.",,,,,,,"existence-of-a-study falsifier; no quantity, units, or instrument named, and the literature is unreachable from this environment",,3
criterion-symmetry,RESULTS_F1,criterion-symmetry/RESULTS.md,SCOPE-DIFFERENT,"Falsifier 1 — C returns the same disposition as actual across all human cases — cannot fire. Not because C disagrees, but because 6 of 6 return UNDETERMINED.",,,,C's criterion reads a within_body_agreement_rate — the fraction of one deliberating body that agreed,"the human cases' quantity, a cross_body_adoption_fraction — the fraction of independent bodies that converged on one form; the falsifier needs C's disposition computed on the human cases","at every human case H1-H6: a within-body rate cannot be computed from cross-body adoption counts (and agreement_value is null on 6 of 6), so C returns UNDETERMINED and the agreement/disagreement comparison can never be taken",,RESULTS.md 'WHY' point 2 is exactly the scope mismatch: 'Those are properties of different objects',3
criterion-symmetry,RESULTS_F2,criterion-symmetry/RESULTS.md,MEASURED,"Falsifier 2 — any human case with comparison_run == yes and a result favouring the dominant form exits the set legitimately — fires on no case. H4 is the only human case whose comparison was run, and per the spec the result does not favour the dominant form, so it stays.",human cases with comparison_run == yes and a result favouring the dominant form,count of cases,scan cases.json per SCAN_SPEC (scan.py); currently 0 — H4's comparison ran but did not favour the dominant form,,,,,correctly reachable and did not fire,3
criterion-symmetry,RESULTS_F3,criterion-symmetry/RESULTS.md,MEASURED,"Populating P1 is the cheapest thing that could refute the asymmetry reading while leaving the criterion just as damaged: if a legislature scored a defect for gridlock would also be scored a defect at high agreement, the criterion is not applied asymmetrically by subject class.",scan verdict on the populated inverse-shape case P1,verdict label from scan.py (FIRED / INVERSE / agree / UNDETERMINED),populate P1's values in cases.json and re-run scan.py,,,,,P1 is marked PROPOSED with every value unstated; not evidence until populated,3
handoff-provenance,F1,handoff-provenance/README.md,MEASURED,"Eleven [K] entries, sealed, committed in their own commit ahead of the commit that implements them — Ledger.seal() can only prove nothing was added after seal() inside one process, so putting the ordering in git history is the first artifact here an outside reader could use to falsify the ordering claim.",commit ordering: the seal commit precedes the implementing commit,boolean from git history,inspect git log / commit graph for the two commits' order,,,,,"README itself hedges: 'Evidence, not proof: history is rewritable.' No other falsifier-shaped statement in README or SPEC_V0_1.md",3
inverseminar,(folder),inverseminar/README.md,MISSING,No falsifier stated for any claim of the folder. 'FALSIF' appears only as a substring in the SUBSTANCE triage pattern list; the 'unprobed' verdict logs model misses but is not a falsifier of a folder claim.,,,,,,,,verified by reading README.md in full and grepping inverseminar.py,3
observer-exclusion,F1,observer-exclusion/MARKER.md,MEASURED,F1. Dateable artifacts from the excluded population cannot be found at sufficient density. The reading may exist and be unrecoverable. This is a real outcome and should be published as one.,density of dateable artifacts recovered from the excluded population,"count of artifacts (with per-artifact delta-hat in years, v2 signature)",archive search per spec recording rule; v2: few records with large/uninformative delta-hat,,,,,'sufficient density' threshold not fixed; revised as SPEC_V2 §8 F1 (publishable null),3
observer-exclusion,F2,observer-exclusion/MARKER.md,MEASURED,F2. L is distributed around zero. No systematic lead.,"L, the lead of the excluded reading over literature adoption",years,L = literature adoption year minus dateable artifact year per case; v2 uses L_adj = L_raw corrected by delta-hat,,,,,revised in SPEC_V2 §8 as L_adj around zero,3
observer-exclusion,F3,observer-exclusion/MARKER.md,MEASURED,F3. Accuracy of the excluded reading is at or below base rate once the negative arm is collected.,accuracy of excluded readings vs base rate,proportion correct,score collected excluded readings correct/incorrect against the §6/§7 negative arm,,,,,base-rate value not numerically fixed in the marker,3
observer-exclusion,F4,observer-exclusion/MARKER.md,MEASURED,F4. The apparent lead is explained by the literature's own publication and consensus lag rather than by exclusion — the field's internal observers held the same reading at the same time and it took the same number of years to surface.,surfacing lag of the field's internal observers vs the excluded population's lead,years,"check field biologists' unpublished notes, conference abstracts, correspondence in the same window",,,,,"SPEC_V2: 'not a clean falsifier as posed' — delta-hat distributions must be compared per population first, else untestable on the corpus",3
observer-exclusion,OE_002,observer-exclusion/CLAIM_TABLE.md,MEASURED,Falsifier: an archival hazard high enough that the delay is negligible against the leads being measured.,archival hazard / mean archival delay vs the leads being measured,hazard per year; delay and leads in years,stipulate or estimate the hazard and re-run archival_bias.py; delay negligible when hazard high enough,,,,,,3
observer-exclusion,OE_003,observer-exclusion/CLAIM_TABLE.md,MEASURED,Falsifier: equal archival hazards for the two populations.,archival hazards of the two populations,per-year hazard each; equality,estimate per-population hazards from two-date artifact records,,,,,,3
observer-exclusion,OE_004,observer-exclusion/CLAIM_TABLE.md,UNKNOWN,Falsifier: a reading of the spec on which a null L distinguishes F1 from F2.,,,,,,,"falsifier is an alternative reading of the spec text; interpretive, no checkable quantity",,3
