id	name	repo	path	input_shape	catches	load_bytes	load_tok_est	run_cost	run_basis	status	gate	built_against
simulators:null-harness	null-harness	Simulators	null-harness/	NUMBER	a gate that never fires or always fires, read as a gate	37516	9379	LINEAR	author-estimate	OBSERVED	FAILED	1f79f138f446
simulators:observable-indicator-rules	observable-indicator-rules	Simulators	observable-indicator-rules/	NUMBER|DECISION	a false alarm passing a miss filter onto a household card	58175	14543	LINEAR	author-estimate	DERIVED	UNRUN	1f79f138f446
simulators:observer-exclusion	AUDIT_NOTES — `observer-exclusion`	Simulators	observer-exclusion/	CORPUS|NUMBER	a lead time attenuated by archival censoring; the wrong sign on the correction	101374	25343	EXTERNAL	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:observer-position-control	observer-position-control	Simulators	observer-position-control/	CORPUS	a label tracking the describer's position rather than the behaviour	19748	4937	CORPUS	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:ontology-probe	ontology-probe	Simulators	ontology-probe/	AGENT-OUTPUT|CATEGORY-SET	a premise composing through a shared term; a term-cut that holes	142241	35560	CORPUS	author-estimate	PROPOSED	PASSED	1f79f138f446
simulators:open-instrumentation-project	The Open Instrumentation Project	Simulators	open-instrumentation-project/	UNRATED	UNRATED	18362	4590	UNRATED	UNRATED	UNRATED	UNRUN	1f79f138f446
simulators:operator-machine-coupling	operator-machine-coupling	Simulators	operator-machine-coupling/	NUMBER	an operator-by-unit interaction reported as noise	63571	15892	QUADRATIC	author-estimate	PROPOSED	PASSED	1f79f138f446
simulators:operator-structure-echo	operator-structure-echo	Simulators	operator-structure-echo/	DOCUMENT|AGENT-OUTPUT	an instrument recurring to its builder's structure	45874	11468	TRIVIAL	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:photoperiod-claim-harness	photoperiod-claim-harness	Simulators	photoperiod-claim-harness/	CLAIM|NUMBER	a sim retuned to save a claim; an empty result set reading as support	96901	24225	LINEAR	author-estimate	DERIVED	UNRUN	1f79f138f446
simulators:play-sims	play-sims	Simulators	play-sims/	UNRATED	UNRATED	3537	884	UNRATED	UNRATED	UNRATED	UNRUN	1f79f138f446
simulators:predicate-difference	predicate-difference	Simulators	predicate-difference/	CLAIM|CATEGORY-SET	a set difference read without its support rule	66264	16566	TRIVIAL	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:presented-binary	presented-binary	Simulators	presented-binary/	DECISION|CLAIM	a two-option framing answered before its option space is audited; the second option absent from the ballot	88877	22219	TRIVIAL	author-estimate	OBSERVED	UNRUN	1f79f138f446
simulators:proxy-investigation-lab	proxy-investigation-lab	Simulators	proxy-investigation-lab/	NUMBER	a proxy with one assumed link capping its fidelity whatever the sensor	10337	2584	LINEAR	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:publication-loop-work-orders	publication-loop-work-orders	Simulators	publication-loop-work-orders/	DOCUMENT	a study design routed to a build	42848	10712	EXTERNAL	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:qrng-pair-search	QRNG PAIR SEARCH	Simulators	qrng-pair-search/	CATEGORY-SET|NUMBER	a bath assigned to the source and not to the fielded leg	39098	9774	TRIVIAL	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:question-availability	AUDIT_NOTES — `question-availability`	Simulators	question-availability/	ABSENCE|CLAIM	unasked, unaskable and superseded pooled as knowledge decay	41176	10294	TRIVIAL	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:railcar-containment	railcar_containment	Simulators	railcar-containment/	NUMBER	an anchor lying past the end of its source term; a margin applied where the envelope says none	61456	15364	LINEAR	author-estimate	DERIVED	UNRUN	1f79f138f446
simulators:readout-count	readout-count	Simulators	readout-count/	NUMBER|CORPUS	a declared channel with no return counted as a channel	135632	33908	CORPUS	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:reasoning-dial	reasoning-dial	Simulators	reasoning-dial/	NUMBER	a knee that moves with the plot window	98833	24708	LINEAR	author-estimate	DERIVED	UNRUN	1f79f138f446
simulators:reasoning-gate	reasoning gate	Simulators	reasoning-gate/	NUMBER|CLAIM	a ratio across unlike objects; a claim without named support; an undeclared resolution	96572	24143	LINEAR	author-estimate	DERIVED	UNRUN	1f79f138f446
simulators:recommender-confound	recommender-confound	Simulators	recommender-confound/	NUMBER|AGENT-OUTPUT	a matcher's spread attributed to the model	72292	18073	LINEAR	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:relational	Council of Protectors Architecture	Simulators	relational/	UNRATED	UNRATED	472575	118143	UNRATED	UNRATED	UNRATED	UNRUN	1f79f138f446
simulators:removal-closure	removal-closure	Simulators	removal-closure/	CLAIM|NUMBER	time-to-closure ranked over closed rows only	62181	15545	CORPUS	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:report-typing	report-typing	Simulators	report-typing/	AGENT-OUTPUT|CORPUS	a report typed by the reporter's position, not its content	64065	16016	CORPUS	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:reporting-chain-loss	reporting-chain-loss	Simulators	reporting-chain-loss/	NUMBER	the terminal of a reporting chain read as a scaled ground reading; a non-report read as disengagement	50611	12652	LINEAR	author-estimate	DERIVED	PASSED	1f79f138f446
simulators:research-stability-audit	research-stability-audit	Simulators	research-stability-audit/	CLAIM|FALSIFIER	a stability claim with no measurement method or threshold	33151	8287	TRIVIAL	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:reservoir-chain-coupling	reservoir-chain-coupling	Simulators	reservoir-chain-coupling/	NUMBER	max(wave, pool) evaluated where the physics sums them	47531	11882	TRIVIAL	author-estimate	DERIVED	UNRUN	1f79f138f446
simulators:residual-direction	residual-direction	Simulators	residual-direction/	UNRATED	UNRATED	49694	12423	UNRATED	UNRATED	UNRATED	UNRUN	1f79f138f446
simulators:return-path	return-path	Simulators	return-path/	CATEGORY-SET|NUMBER	a channel scored as a return path with elective receipt or a re-encoding	64530	16132	TRIVIAL	author-estimate	PROPOSED	PASSED	1f79f138f446
simulators:revision-mechanism	revision-mechanism	Simulators	revision-mechanism/	CORPUS	a shape claim carried by two points	53552	13388	EXTERNAL	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:revision-survival	revision-survival	Simulators	revision-survival/	AGENT-OUTPUT|CLAIM	a revision label retrieved where a mechanism was asked; a seed list selected on being a reversal	209730	52432	CORPUS	author-estimate	PROPOSED	PASSED	1f79f138f446
simulators:rigidification-sensor	rigidification_sensor — trajectory spec	Simulators	rigidification-sensor/	NUMBER	variance suppression read as stability; reversal cost crossing continuation cost unnoticed	36870	9217	LINEAR	author-estimate	DERIVED	UNRUN	1f79f138f446
simulators:routing-data-layer	routing-data-layer	Simulators	routing-data-layer/	NUMBER|ABSENCE	a never-created record read as an incomplete one; a single crossing read as structural	59100	14775	TRIVIAL	author-estimate	PROPOSED	PASSED	1f79f138f446
simulators:rule-coherence-counterfactual	rule-coherence-counterfactual	Simulators	rule-coherence-counterfactual/	NUMBER	restrictiveness uncontrolled across the arms of a counterfactual	38265	9566	LINEAR	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:scope-bound-shapes	scope-bound-shapes	Simulators	scope-bound-shapes/	CLAIM|CATEGORY-SET	a shape read without its binding declared FROZEN	49699	12424	TRIVIAL	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:seam-gaps	seam-gaps	Simulators	seam-gaps/	ABSENCE	a gap coded by two fields as the other's problem	40584	10146	TRIVIAL	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:search-substitution	SEARCH SUBSTITUTION	Simulators	search-substitution/	NUMBER	an exponential in a formalism read as a property of the organism	26995	6748	TRIVIAL	author-estimate	DERIVED	UNRUN	1f79f138f446
simulators:self-scan	self-scan	Simulators	self-scan/	DOCUMENT	a stated number nothing maintains; a divergence born rather than drifted	197321	49330	LINEAR	author-estimate	OBSERVED	UNRUN	1f79f138f446
simulators:shape-spec-audit	shape-spec-audit	Simulators	shape-spec-audit/	DOCUMENT|CLAIM	a definition contradicted by its own worked examples; a shadow read with no cell for jointly unsatisfiable tangents	92763	23190	TRIVIAL	author-estimate	DERIVED	PASSED	1f79f138f446
simulators:sheet-structure-scan	sheet-structure-scan	Simulators	sheet-structure-scan/	DOCUMENT|NUMBER	a prose relation no cell maintains; a companion absent from a flagged cell; coupling reported as dependent count	394610	98652	LINEAR	author-estimate	OBSERVED	PASSED	1f79f138f446
simulators:sim-span	SIM-SPAN	Simulators	sim-span/	NUMBER	a U manufactured by a span-reporting rule	77381	19345	LINEAR	author-estimate	DERIVED	PASSED	1f79f138f446
simulators:simulation-hypothesis-budget	simulation-hypothesis-budget	Simulators	simulation-hypothesis-budget/	NUMBER|CLAIM	a cross-frame ratio with an unknown denominator; a stepping cost multiplied by a transition count	234262	58565	TRIVIAL	author-estimate	DERIVED	UNRUN	1f79f138f446
simulators:stop-authority	stop-authority	Simulators	stop-authority/	NUMBER|CATEGORY-SET	a zero read in one of the two states it fits	107690	26922	TRIVIAL	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:substrate-alternative	substrate-alternative	Simulators	substrate-alternative/	DOCUMENT|DECISION	a money-frame token in text; an allocation rule left implicit when the price signal is removed	92736	23184	TRIVIAL	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:substrate-emergence	substrate-emergence	Simulators	substrate-emergence/	UNRATED	UNRATED	22361	5590	UNRATED	UNRATED	UNRATED	UNRUN	1f79f138f446
simulators:supplement-placement	supplement-placement	Simulators	supplement-placement/	DECISION	direction read where placement is the variable	31765	7941	TRIVIAL	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:sustained-activation-gate	sustained-activation-gate	Simulators	sustained-activation-gate/	NUMBER	a bistable lock read as a baseline shift	44080	11020	LINEAR	author-estimate	DERIVED	UNRUN	1f79f138f446
simulators:term-drift-citation	term-drift-citation	Simulators	term-drift-citation/	CLAIM|DOCUMENT	a citation that no longer attaches to the term it is cited for	58225	14556	TRIVIAL	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:terrain-prior	terrain-prior	Simulators	terrain-prior/	CLAIM	an indicator read as a rating rather than a record of the process that made the site	97853	24463	TRIVIAL	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:thermal-coupling	thermal-coupling	Simulators	thermal-coupling/	NUMBER	a claim refuted by its own function; a free-parameter count of one against a census of 35	88418	22104	LINEAR	author-estimate	DERIVED	UNRUN	1f79f138f446
simulators:thermal-sensor-degradation-audit	Thermal Sensor Degradation Audit	Simulators	thermal-sensor-degradation-audit/	NUMBER	a sensor package degrading during the event it records, biasing the tail low	34929	8732	TRIVIAL	author-estimate	DERIVED	UNRUN	1f79f138f446
simulators:token-minimizer	Token Minimizer — Design Notes	Simulators	token-minimizer/	DOCUMENT	a query carrying tokens its geometry does not need	15677	3919	TRIVIAL	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:tools	tools	Simulators	tools/	UNRATED	UNRATED	218796	54699	UNRATED	UNRATED	UNRATED	UNRUN	1f79f138f446
simulators:tools.authority_scan	authority_scan	Simulators	tools/authority_scan.py	DOCUMENT	a field name from a forbidden standing vocabulary	2855	713	TRIVIAL	author-estimate	DERIVED	UNRUN	1f79f138f446
simulators:tools.check_gate_drift	check_gate_drift	Simulators	tools/check_gate_drift.py	DOCUMENT	a stale copy of the one gate anywhere in the tree	8375	2093	TRIVIAL	author-estimate	OBSERVED	UNRUN	1f79f138f446
simulators:tools.check_term_collision	check_term_collision	Simulators	tools/check_term_collision.py	UNRATED	UNRATED	7586	1896	UNRATED	UNRATED	UNRATED	UNRUN	1f79f138f446
simulators:tools.gap_index	gap_index	Simulators	tools/gap_index.py	DOCUMENT|ABSENCE	two gaps under one id; an open question missed by a filename glob	24683	6170	TRIVIAL	author-estimate	OBSERVED	UNRUN	1f79f138f446
simulators:tools.known_answer	known_answer	Simulators	tools/known_answer.py	NUMBER	a metric shipped without a known-answer run; a case set that cannot detect a constant metric	93227	23306	TRIVIAL	author-estimate	OBSERVED	PASSED	1f79f138f446
simulators:tools.run_manifest	run_manifest	Simulators	tools/run_manifest.py	UNRATED	UNRATED	25791	6447	UNRATED	UNRATED	UNRATED	UNRUN	1f79f138f446
simulators:tools.sourced	sourced	Simulators	tools/sourced.py	NUMBER	a value whose stated source span does not support it	19637	4909	TRIVIAL	author-estimate	DERIVED	UNRUN	1f79f138f446
simulators:tools.substrate_substitution	substrate_substitution	Simulators	tools/substrate_substitution.py	CLAIM	narrative-instinct framing on a claim	6012	1503	TRIVIAL	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:tools.substrate_substitution_toolkit	substrate_substitution_toolkit	Simulators	tools/substrate_substitution_toolkit.py	CLAIM	narrative-instinct framing on a claim, seven categories	25448	6362	TRIVIAL	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:tools.validate_claim_table	validate_claim_table	Simulators	tools/validate_claim_table.py	CLAIM|DOCUMENT	a malformed CLAIM_TABLE.json	4904	1226	TRIVIAL	author-estimate	DERIVED	UNRUN	1f79f138f446
simulators:transmission-cascade	transmission-cascade	Simulators	transmission-cascade/	CORPUS|NUMBER	a type-by-layer table released before the coder kappa clears	32552	8138	CORPUS	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:transmission-decay	transmission-decay	Simulators	transmission-decay/	CORPUS	a half-life interpolated across a categorical axis	54007	13501	EXTERNAL	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:triad-playground	triad-playground	Simulators	triad-playground/	NUMBER	a consensus blind to the error its shadows share	87274	21818	TRIVIAL	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:trigger-geometry	trigger-geometry	Simulators	trigger-geometry/	DECISION|NUMBER	sensor correct, response derived in a geometry it is not applied in	99657	24914	TRIVIAL	author-estimate	PROPOSED	PASSED	1f79f138f446
simulators:undeclared-cuts	undeclared-cuts	Simulators	undeclared-cuts/	UNRATED	UNRATED	19732	4933	UNRATED	UNRATED	UNRATED	UNRUN	1f79f138f446
simulators:uninstrumented	uninstrumented	Simulators	uninstrumented/	ABSENCE|CATEGORY-SET	a quantity excluded by the instrument's constitution read as an oversight	941897	235474	LINEAR	author-estimate	OBSERVED	UNRUN	1f79f138f446
simulators:upgrade-queue	upgrade-queue	Simulators	upgrade-queue/	DOCUMENT	a queued format change read as adopted	34115	8528	TRIVIAL	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:valence-divergence	valence-divergence	Simulators	valence-divergence/	CLAIM|CATEGORY-SET	agreement reached over an unflagged valence mismatch	88490	22122	TRIVIAL	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:vector-field-explorer	vector-field-explorer	Simulators	vector-field-explorer/	UNRATED	UNRATED	17622	4405	UNRATED	UNRATED	UNRATED	UNRUN	1f79f138f446
simulators:voice-attractor-probe	voice-attractor-probe	Simulators	voice-attractor-probe/	AGENT-OUTPUT	a model drifting to one modality on modality-neutral tasks	36355	9088	LINEAR	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:zero-sum-curriculum-null	zero-sum-curriculum-null	Simulators	zero-sum-curriculum-null/	CLAIM	a null construction read as a conjunction in its header and a disjunction in its result	32885	8221	TRIVIAL	author-estimate	DERIVED	UNRUN	1f79f138f446
